,property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,coordinates,latitude,longitude
561,flat,ss,sector 85,2.09,7432.0,4,4,3,8.0,Moderately Old,2600.0,1,1,0,1,0,0,49,"28.4042° N, 76.9513° E",28.4042,76.9513
562,flat,smart world orchard,sector 61,1.9,22700.0,3,3,3,1.0,New Property,1137.0,0,0,0,0,0,0,30,"28.4050° N, 77.0963° E",28.405,77.0963
563,flat,emaar gurgaon greens,sector 102,1.45,14174.0,3,3,3,10.0,Moderately Old,1315.0,0,1,0,0,0,0,165,"28.4750° N, 76.9715° E",28.475,76.9715
564,flat,signature the roselia,sector 95,0.45,7909.0,2,2,2,2.0,New Property,632.0,0,0,0,0,0,1,31,"28.4172° N, 76.9081° E",28.4172,76.9081
565,flat,bestech park view city,sector 48,2.65,10323.0,4,4,3+,11.0,Moderately Old,2134.0,1,1,0,0,0,1,174,"28.4177° N, 77.0359° E",28.4177,77.0359
566,house,international city by sobha phase 2,sector 109,10.0,27778.0,4,5,3+,2.0,New Property,3600.0,1,1,0,1,1,1,49,"28.5073° N, 77.0089° E",28.5073,77.0089
567,flat,sare crescent parc,sector 92,1.0,4778.0,4,4,3,9.0,Moderately Old,2093.0,0,0,0,0,0,0,0,"28.4079° N, 76.9153° E",28.4079,76.9153
568,flat,conscient habitat,sector 99a,0.27,5602.0,2,2,1,8.0,Moderately Old,538.0,0,0,0,0,1,0,49,"28.4561° N, 76.9542° E",28.4561,76.9542
569,flat,m3m the marina,sector 68,1.02,8095.0,2,2,2,11.0,Moderately Old,1250.0,0,0,0,0,1,1,49,"28.3853° N, 77.0484° E",28.3853,77.0484
570,house,independent,sector 26,5.8,32222.0,4,3,2,2.0,Moderately Old,1800.0,0,0,1,0,0,0,21,"28.4757° N, 77.1032° E",28.4757,77.1032
571,flat,pareena mi casa,sector 68,1.7,8500.0,4,4,3+,23.0,New Property,1809.0,0,0,0,0,0,0,88,"28.3853° N, 77.0484° E",28.3853,77.0484
572,flat,apex our homes,sector 37c,0.35,3784.0,2,2,1,7.0,Moderately Old,850.0,0,0,0,0,0,1,158,"28.4515° N, 76.9882° E",28.4515,76.9882
573,flat,umang monsoon breeze,sector 78,0.9,4615.0,3,3,2,1.0,Moderately Old,1900.0,0,1,0,1,0,0,65,"28.3733° N, 76.9729° E",28.3733,76.9729
574,flat,m3m skywalk,sector 74,1.54,10815.0,2,2,3+,15.0,Moderately Old,1200.0,0,0,0,0,1,0,137,"28.4158° N, 77.0118° E",28.4158,77.0118
575,flat,bestech park view sanskruti,sector 92,1.9,8172.0,4,4,3+,10.0,Moderately Old,1920.0,1,1,0,1,1,0,49,"28.4079° N, 76.9153° E",28.4079,76.9153
576,flat,ramprastha primera,sector 37d,1.02,6000.0,3,2,3,22.0,Under Construction,1538.0,0,0,0,0,0,0,43,"28.4478° N, 76.9703° E",28.4478,76.9703
577,flat,sare homes,sector 92,0.95,4251.0,4,3,2,16.0,New Property,1983.0,0,0,0,0,0,0,95,"28.4079° N, 76.9153° E",28.4079,76.9153
578,house,sector 14 rwa,sector 14,6.5,26000.0,5,5,0,4.0,Old Property,2500.0,0,0,0,0,0,0,0,"28.4711° N, 77.0454° E",28.4711,77.0454
579,flat,smart world orchard,sector 61,1.65,13750.0,2,2,2,1.0,Under Construction,1333.0,1,0,0,0,0,0,16,"28.4050° N, 77.0963° E",28.405,77.0963
580,flat,godrej nature plus,sector 33,1.1,7971.0,2,2,2,14.0,Moderately Old,1533.0,0,0,0,0,0,0,56,"28.4420° N, 77.0207° E",28.442,77.0207
581,house,unitech espace,sector 50,9.8,30247.0,4,4,3,2.0,Old Property,300.0,0,1,0,0,0,0,22,"28.4178° N, 77.0628° E",28.4178,77.0628
582,house,central park flower valley,sector 33,1.15,9350.0,2,2,3,2.0,Moderately Old,1400.0,1,0,0,0,0,1,71,"28.4420° N, 77.0207° E",28.442,77.0207
583,flat,signature global city 37d ph 2,sector 37d,1.36,8848.0,3,3,3,1.0,Moderately Old,1535.0,0,0,0,1,1,0,37,"28.4478° N, 76.9703° E",28.4478,76.9703
584,flat,ireo uptown,sector 66,4.85,12999.0,4,4,3+,15.0,Moderately Old,3500.0,1,1,1,1,0,1,156,"28.3925° N, 77.0541° E",28.3925,77.0541
585,flat,unitech fresco,sector 50,1.82,9913.0,3,3,3+,14.0,Moderately Old,1830.0,0,0,0,0,1,1,174,"28.4178° N, 77.0628° E",28.4178,77.0628
586,flat,sobha city,sector 108,2.6,15196.0,3,3,2,11.0,New Property,1548.0,0,0,0,0,0,0,49,"28.5134° N, 76.9830° E",28.5134,76.983
587,flat,housing apna enclave,sector 4,0.39,4105.0,2,2,1,1.0,Moderately Old,950.0,0,0,0,0,0,0,0,"28.4738° N, 77.0107° E",28.4738,77.0107
588,flat,emaar mgf emerald floors premier,sector 65,2.0,12121.0,3,3,3,1.0,Moderately Old,1833.0,0,1,0,0,0,1,124,"28.4030° N, 77.0690° E",28.403,77.069
589,flat,ireo skyon,sector 60,2.05,15185.0,2,3,2,2.0,Moderately Old,1520.0,0,0,1,0,0,1,174,"28.4003° N, 77.0975° E",28.4003,77.0975
590,house,international city by sobha phase 2,sector 109,8.48,23556.0,4,6,3+,3.0,New Property,3600.0,1,1,1,1,0,0,153,"28.5073° N, 77.0089° E",28.5073,77.0089
591,flat,antriksh heights,sector 84,0.92,5041.0,3,3,3,2.0,Moderately Old,1652.0,1,0,0,1,0,0,67,"28.3979° N, 76.9736° E",28.3979,76.9736
592,flat,dlf the primus,sector 82a,2.2,10516.0,3,3,3+,16.0,Moderately Old,1893.0,0,1,0,0,0,2,174,"28.3858° N, 76.9686° E",28.3858,76.9686
593,flat,birla navya,sector 63a,3.23,26872.0,3,3,3,4.0,New Property,1640.0,0,1,0,0,0,0,52,"28.3923° N, 77.0888° E",28.3923,77.0888
594,flat,raheja atharva,sector 109,2.2,9491.0,3,3,2,7.0,Moderately Old,2576.0,0,1,0,0,0,1,111,"28.5073° N, 77.0089° E",28.5073,77.0089
595,house,independent,sector 55,1.45,26852.0,1,4,3+,4.0,Moderately Old,60.0,0,0,1,0,0,0,70,"28.4281° N, 77.1100° E",28.4281,77.11
596,flat,m3m woodshire,sector 107,0.82,6003.0,2,2,3+,7.0,Moderately Old,1236.0,0,0,0,0,0,0,111,"28.5052° N, 76.9729° E",28.5052,76.9729
597,flat,umang monsoon breeze,sector 78,0.8,4837.0,3,2,2,7.0,Moderately Old,1472.0,0,0,0,1,0,0,102,"28.3733° N, 76.9729° E",28.3733,76.9729
598,flat,parsvnath green ville,sector 48,2.5,12821.0,4,5,3,1.0,Moderately Old,2167.0,0,0,0,0,1,1,49,"28.4177° N, 77.0359° E",28.4177,77.0359
599,house,independent,sector 31,3.5,24155.0,4,4,3,2.0,Old Property,1449.0,0,0,1,0,0,1,70,"28.4528° N, 77.0498° E",28.4528,77.0498
600,flat,bptp terra,sector 37d,1.8,8215.0,4,3,3,12.0,Moderately Old,1983.0,1,0,0,0,0,1,144,"28.4478° N, 76.9703° E",28.4478,76.9703
601,flat,sunischit apartments,sector 54,1.75,7955.0,3,4,3+,5.0,Moderately Old,1900.0,0,1,0,0,0,1,83,"28.4348° N, 77.1089° E",28.4348,77.1089
602,flat,satya the hermitage,sector 103,0.93,6405.0,2,3,3,3.0,Moderately Old,1613.0,0,1,0,0,0,1,90,"28.4949° N, 76.9845° E",28.4949,76.9845
